"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","11","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","12","fieldCommentRequirement Required","Comments","CommentRequired"
"3","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","48","Comment is too large: Too many lines","Comments","CommentSize"
"4","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","57","Avoid variables with short names like th","Naming","ShortVariable"
"5","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","71","Comment is too large: Too many lines","Comments","CommentSize"
"6","com.company.logger","src/main/java/com/company/logger/MainLogger.java","3","80","Avoid variables with short names like th","Naming","ShortVariable"
"7","com.company.main","src/main/java/com/company/main/DeDup.java","3","12","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"8","com.company.main","src/main/java/com/company/main/DeDup.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"9","com.company.main","src/main/java/com/company/main/DeDup.java","4","24","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"10","com.company.main","src/main/java/com/company/main/DeDup.java","2","26","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"11","com.company.main","src/main/java/com/company/main/DeDup.java","2","26","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"12","com.company.main","src/main/java/com/company/main/DeDup.java","2","29","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"13","com.company.main","src/main/java/com/company/main/DeDup.java","2","29","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"14","com.company.main","src/main/java/com/company/main/DeDup.java","2","32","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"15","com.company.main","src/main/java/com/company/main/DeDup.java","2","32","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"16","com.company.main","src/main/java/com/company/main/DeDup.java","2","35","There is log block not surrounded by if","Jakarta Commons Logging","GuardLogStatement"
"17","com.company.main","src/main/java/com/company/main/DeDup.java","2","35","There is log block not surrounded by if","Java Logging","GuardLogStatementJavaUtil"
"18","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","13","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"19","com.company.utilty","src/main/java/com/company/utilty/ArrayUtil.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
